หลักทรัพย์,ชื่อผู้ได้มา/จำหน่าย,วิธีการ,ประเภท หลักทรัพย์ 1,% ก่อน ได้มา/ จำหน่าย,% ได้มา/ จำหน่าย,% หลัง ได้มา/ จำหน่าย,วันที่ได้มา/ จำหน่าย,% ก่อน ได้มา/ จำหน่าย (กลุ่ม)2,% ได้มา/ จำหน่าย (กลุ่ม)2,% หลัง ได้มา/ จำหน่าย (กลุ่ม)2,หมายเหตุ3,PDF,หมายเลข
BCP,กองทุนรวมวายุภักษ์ หนึ่ง,จำหน่าย,หุ้น,10.0327,0.0341,9.9986,18/09/2569,10.0327,0.0341,9.9986,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6ab0b5ee187437e026bb77ce,246043972609-1
VIH,บริษัท บีบีทีวี เอ็คควิตี้ จำกัด,จำหน่าย,หุ้น,20.0477,20.0477,0.0,15/09/2569,20.0477,20.0477,0.0,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6aa906265669891379e0e84e,246043902609-1
VIH,บริษัท พี อาร์ จี คอร์ปอเรชั่น จำกัด (มหาชน),ได้มา,หุ้น,0.0,20.0477,20.0477,15/09/2569,0.0,20.0477,20.0477,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6aa3ae9f5669891379e0e83d,246043892609-1
A5,นาย สาโรจน์ อัศวพรชัย,ได้มา,หุ้น,4.9958,0.0047,5.0005,14/09/2569,4.9958,0.0047,5.0005,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6aa89d4e5669891379e0e848,246043862609-1
KGEN,นาง ประจิตรา วรนาวิน,จำหน่าย,หุ้น,6.765,4.9422,1.8228,14/09/2569,6.765,4.9422,1.8228,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6aaa5aa65669891379e0e85a,246043932609-1
BIS,"นาง พัชรี นันทวัฒน์ศิริ, นาย ศราวุธ เตชะสัตยา, นาง รุ่งนภา เตชะสัตยา",เริ่มต้น Concert Party,หุ้น,33.3809,0.0,33.3809,10/09/2569,33.3809,0.0,33.3809,จะทำคำเสนอซื้อ,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6aa37eba5669891379e0e83b,246043842609-1
TNDT,นาย กฤชรักษ์ วรชนนภากาศ,ได้มา,หลักทรัพย์แปลงสภาพ,0.0,10.0347,10.0347,10/09/2569,0.0,10.0347,10.0347,ฉบับแก้ไข,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6aa917335669891379e0e850,246043882609-2
B,นางสาว ธนิกา ตั้งพูนผลวิวัฒน์,ได้มา,หุ้น,12.8089,4.0335,16.8424,08/09/2569,12.8089,4.0335,16.8424,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6aa0f0cd5669891379e0e821,246043772609-1
BCP,สำนักงานประกันสังคม,จำหน่าย,หุ้น,10.1447,0.205,9.9396,07/09/2569,10.1447,0.205,9.9396,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6aa1297b5669891379e0e823,246043792609-1
KKP,บริษัท วีอีท จำกัด,ได้มา,หุ้น,0.0,1.6269,1.6269,07/09/2569,3.3958,1.6269,5.0227,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6aa25e065669891379e0e834,246043802609-1
HL,นาย ธัญกร พันธุกานนท์,ได้มา,หุ้น,4.3806,1.1134,5.494,04/09/2569,4.3806,1.1134,5.494,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a9eae1b8a4638066c2f4d18,246043752609-1
STELLA,นันทิดา กิตติอิสรานนท์,ได้มา,หุ้น,4.9966,0.0033,5.0,04/09/2569,4.9966,0.0033,5.0,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a9f672e5669891379e0e81a,246043762609-1
DPAINT,นางสาว ณดา อนิรุทธ์เทวา,ได้มา,หุ้น,0.0043,21.2286,21.2297,02/09/2569,0.0043,21.2286,21.2297,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6ab09803187437e026bb77cd,246043962609-1
STELLA,นาย ประเดช กิตติอิสรานนท์,จำหน่าย,หุ้น,6.2616,1.3952,4.8663,02/09/2569,6.2616,1.3952,4.8663,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a9e15038a4638066c2f4d16,246043742609-1
TRC,พีเอส แคปปิตอล โฮลดิ้งส์,จำหน่าย,หุ้น,9.0546,4.4367,4.6178,01/09/2569,9.0546,4.4367,4.6178,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6aa3cd375669891379e0e840,246043852609-1
IROYAL,นางสาว ชุติมา เดชทิพย์ประภาพ,ได้มา,หลักทรัพย์แปลงสภาพ,0.0,12.9797,12.9797,31/08/2569,0.0,12.9797,12.9797,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a9a73183b0bc43579425138,246043722609-1
SIMAT,ทองคำ มานะศิลปพันธ์,ได้มา,หุ้น,4.9202,1.6603,6.5805,31/08/2569,4.9202,1.6603,6.5805,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a96aee23b0bc4357942512e,246043662609-1
YONG,นาย สรรเพชญ ศลิษฏ์อรรถกร,ได้มา,หุ้น,14.9564,0.0882,15.0446,31/08/2569,14.9564,0.0882,15.0446,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a96594d3b0bc4357942512d,246043652609-1
NCL,พงษ์เทพ วิชัยกุล,จำหน่าย,หุ้น,10.0723,0.278,9.7943,25/08/2569,10.0723,0.278,9.7943,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a9137aa3b0bc43579425119,246043572608-1
RML,กฤษณ์ ณรงค์เดช,ได้มา,หุ้น,5.1421,0.0153,5.1575,21/08/2569,39.9902,0.0153,40.0056,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a995f0d3b0bc43579425135,246043702609-1
ACC,นาย วิเชียร เอื้อสงวนกุล,ได้มา,หุ้น,1.0698,4.6091,5.6789,20/08/2569,1.0698,4.6091,5.6789,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a8d2e463b0bc435794250fc,246043522608-1
SPCG,วันดี กุญชรยาคง,จำหน่าย,หุ้น,46.0841,46.0841,0.0,20/08/2569,46.0841,46.0841,0.0,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a84074aa06a7961be119e39,246043372608-1
SPCG,เคียวเซร่า คอร์ปอเรชั่น,จำหน่าย,หุ้น,6.0144,6.0144,0.0,20/08/2569,6.0144,6.0144,0.0,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a8bb7b5a06a7961be119e6f,246043412608-1
SPCG,นางสาว รัชณีวัลย์ อัครวิกรัย,จำหน่าย,หุ้น,6.219,3.4653,2.7536,20/08/2569,6.219,3.4653,2.7536,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a8c0485a06a7961be119e88,246043442608-1
SPCG,"นาย วรสิทธิ์ โภคาชัยพัฒน์, บริษัท เจอาร์ที กรีน เอ็นเนอร์ยี่ จำกัด, PREMIA GLOBAL LIMITED, นาย เกรียงไกร จารุทวี, บริษัท พรีเมีย โกลบอล ไทย จำกัด",เริ่มต้น Concert Party,หุ้น,57.4632,0.0,57.4632,20/08/2569,57.4632,0.0,57.4632,จะทำคำเสนอซื้อ,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a880caca06a7961be119e6b,246043402608-1
TTB,บริษัท ไอเอ็นจี แบงก์ เอ็น.วี. จำกัด,จำหน่าย,หุ้น,19.507,7.8725,11.6345,19/08/2569,19.507,7.8725,11.6345,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a85b279a06a7961be119e55,246043382608-1
AP,จัดการการลงทุน แอร์เมส,ได้มา,หุ้น,9.977,0.076,10.053,18/08/2569,9.977,0.076,10.053,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a85e52ba06a7961be119e56,246043362608-1
DMT,บริษัท โกลเด้น ฮอร์ส จำกัด,จำหน่าย,หุ้น,10.0101,1.6084,8.4016,18/08/2569,10.0101,1.6084,8.4016,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a96c09e3b0bc43579425130,246043692609-1
FNS,นาย เชิญชัย นิยมานุสร,ได้มา,หุ้น,0.0,7.9296,7.9296,18/08/2569,0.0,7.9296,7.9296,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a852b36a06a7961be119e4a,246043232608-1
FNS,นาย วรสิทธิ์ โภคาชัยพัฒน์,จำหน่าย,หุ้น,49.4531,7.9296,41.5235,18/08/2569,57.8422,7.9296,49.9125,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a85214ca06a7961be119e47,246043222608-1
SICT,นาย มานพ ธรรมสิริอนันต์,จำหน่าย,หุ้น,19.992,5.7205,14.2714,17/08/2569,19.992,5.7205,14.2714,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a82f812a06a7961be119e2e,246043082608-1
STX,กฤตนันท์ ปิงคลาศัย,จำหน่าย,หุ้น,0.0227,0.0,0.0227,17/08/2569,15.1033,0.3255,14.7778,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a841162a06a7961be119e42,246043252608-1
STX,นางสาว อรจิรา ปิงคลาศัย,จำหน่าย,หุ้น,0.0,0.0,0.0,17/08/2569,15.0806,0.3255,14.755,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a84124fa06a7961be119e43,246043262608-1
STX,นาย ณัฐกุล ปิงคลาศัย,จำหน่าย,หุ้น,0.0,0.0,0.0,17/08/2569,15.0806,0.3255,14.755,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a83fb3fa06a7961be119e35,246043242608-1
STX,บริษัท ดราก้อน วัน จำกัด,จำหน่าย,หุ้น,14.755,0.3255,14.4294,17/08/2569,15.0806,0.3255,14.755,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a8bf0e6a06a7961be119e78,246043422608-1
QDC,Mr Vatcharakiatth Taechasirithiwapakdi,จำหน่าย,หุ้น,31.9637,2.1059,29.8577,14/08/2569,31.9637,2.1059,29.8577,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a8539b3a06a7961be119e4c,246043202608-1
RCL,นาย สุเมธ ตันธุวนิตย์,จำหน่าย,หุ้น,6.8375,2.2503,4.5871,11/08/2569,6.8375,2.2503,4.5871,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a7d2ad6287aee7f13d55975,246043052608-1
ETTH26,บริษัท รักษ์ มาร์เก็ตติ้ง จำกัด,ได้มา,หุ้น,0.0,5.5199,5.5199,06/08/2569,0.0,5.5199,5.5199,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a83da32a06a7961be119e33,246043092608-1
EMC,ชินชัย ลีนะบรรจง,จำหน่าย,หุ้น,15.0255,0.1623,14.8631,03/08/2569,15.0255,0.1623,14.8631,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a745363963bca29fc4ecc9f,246043002608-1
SMD100,นาย ทวีศักดิ์ บุญประสิทธิ์,จำหน่าย,หุ้น,5.7774,2.8887,2.8887,31/07/2569,5.7774,2.8887,2.8887,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a799a45287aee7f13d5596f,246043032608-1
FMT,บริษัท ฮ่องกง จีดี เทรดดิ้ง จำกัด,ได้มา,หุ้น,0.0,42.2505,42.2505,27/07/2569,0.0,42.2505,42.2505,จะทำคำเสนอซื้อ,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a6b0f4f3639b7274eabb66f,246042962607-1
TRV,นางสาว กุลณฐา แสงธนนิรมิต,จำหน่าย,หุ้น,6.0393,2.9166,3.1226,22/07/2569,6.0393,2.9166,3.1226,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a60886f3639b7274eabb668,246042932607-1
KK,นาง ฐิตารัตน์ สิริธนนนท์สกุล,ได้มา,หุ้น,4.3149,20.7913,25.1062,21/07/2569,4.3149,20.7913,25.1062,ได้รับยกเว้นทำคำเสนอซื้อ,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a603e223639b7274eabb660,246042922607-1
BCP,กองทุนรวมวายุภักษ์ หนึ่ง,จำหน่าย,หุ้น,15.0352,0.1742,14.8609,20/07/2569,15.0352,0.1742,14.8609,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a5eeec23639b7274eabb65a,246042892607-1
PROUD,นาย สมพงษ์ ชลคดีดำรงกุล,จำหน่าย,หุ้น,3.4696,0.0005,3.4691,16/07/2569,5.0031,0.0338,4.9692,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a59b47c3639b7274eabb652,246042862607-1
READY,นาย ทวีรัช ปรุงพัฒนสกุล,ได้มา,หุ้น,19.9916,0.0166,20.0083,16/07/2569,19.9916,0.0166,20.0083,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a58e0963639b7274eabb651,246042842607-1
THMUI,นาย ทชากร ลีลาประชากุล,ได้มา,หุ้น,14.6553,4.3428,16.0671,15/07/2569,14.6553,4.3428,16.0671,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a59f8123639b7274eabb655,246042872607-1
TVDH,นางสาว จิราภรณ์ พินิจนรชัย,ได้มา,หุ้น,0.5706,8.3403,8.7793,14/07/2569,0.5706,8.3403,8.7793,ผู้รายงานแจ้งยกเลิก,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a607d153639b7274eabb664,246042912607-1
QTCG,นาย ชาคร ศรีวัฒนประยูร,ได้มา,หุ้น,10.4849,14.9034,17.1095,13/07/2569,10.4849,14.9034,17.1095,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a5dbc9a3639b7274eabb658,246042882607-1
TVDH,นาย วโรตม์ หน่อแก้ว,ได้มา,หุ้น,7.8355,11.3148,19.1503,13/07/2569,7.8355,11.3148,19.1503,ผู้รายงานแจ้งยกเลิก,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a572b843639b7274eabb64e,246042832607-1
QTCG,นาย ถาวร เพชรโลหะกุล,ได้มา,หุ้น,0.0012,10.52,10.5213,10/07/2569,0.0012,10.52,10.5213,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a55bdb49657a11387b92484,246042812607-1
QTCG,นาย ธณตวงศ์ บรรลือทรัพย์,ได้มา,หุ้น,0.1199,6.575,6.6003,10/07/2569,0.1199,6.575,6.6003,จะลดสัดส่วนการถือหุ้น,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a56049c3639b7274eabb64c,246042822607-1
QTCG,นาย ปวิณ จิตติวงศ์สมาน,ได้มา,หุ้น,0.0012,6.9213,6.9225,10/07/2569,0.0012,6.9213,6.9225,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a55adce9657a11387b92482,246042802607-1
QTCG,นาย สกนธ์ การกระสัง,ได้มา,หุ้น,0.0103,8.7667,8.7689,10/07/2569,0.0103,8.7667,8.7689,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a5193169657a11387b9247e,246042792607-1
SGC,บริษัท ซิงเกอร์ประเทศไทย จำกัด (มหาชน),จำหน่าย,หุ้น,78.166,3.1664,74.9996,10/07/2569,78.166,3.1664,74.9996,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a50e18b9657a11387b9247d,246042782607-1
XBIO,นางสาว ปรียสุดา อัครศรีสวัสดิ์,จำหน่าย,หุ้น,85.5422,4.1105,81.4316,10/07/2569,85.5422,4.1105,81.4316,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a5f1fa33639b7274eabb65b,246042902607-1
BIS,นาย สุชาติ วรวุฒางกูร,จำหน่าย,หุ้น,5.0173,0.0378,4.9794,09/07/2569,5.0173,0.0378,4.9794,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a796f14287aee7f13d5596c,246043012608-1
TGPRO,นางสาว มณฑิรา ลีลาประชากุล,จำหน่าย,หุ้น,12.2414,12.2414,0.0,09/07/2569,12.2414,12.2414,0.0,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a2fb0397f39376f1afc98f0,246042762607-1
TGPRO,บริษัท หลักทรัพย์จัดการกองทุนเอ็มเอฟซี จำกัด (มหาชน),ได้มา,หุ้น,0.0,12.2414,12.2414,09/07/2569,0.0,12.2414,12.2414,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a4f5f2d1f51c254c7ade40b,246042752607-1
TVDH,นางสาว จิราภรณ์ พินิจนรชัย,ได้มา,หุ้น,0.5706,8.3403,8.7793,09/07/2569,0.5706,8.3403,8.7793,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a6196fe3639b7274eabb66d,246042942607-1
TVDH,นาย วโรตม์ หน่อแก้ว,ได้มา,หุ้น,7.8355,11.3148,19.1503,09/07/2569,7.8355,11.3148,19.1503,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a59f1f93639b7274eabb654,246042852607-1
EMPIRE,นาย กระทรวง จารุศิระ,ได้มา,หุ้น,5.3925,5.2339,10.6264,08/07/2569,5.3925,5.2339,10.6264,ผู้รายงานแจ้งยกเลิก,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a4e2ce61f51c254c7ade403,246042722607-1
PPPM,นาย วรัชญ์ รัศมีไพศาล,ได้มา,หลักทรัพย์แปลงสภาพ,0.0,5.5143,5.5143,08/07/2569,0.0,5.5143,5.5143,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a4f6dd11f51c254c7ade40e,246042732607-1
EMPIRE,นาย กระทรวง จารุศิระ,ได้มา,หุ้น,7.9259,2.5333,10.4592,07/07/2569,7.9259,2.5333,10.4592,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a504b5d9657a11387b92479,246042742607-1
