source_row,source_pdf_url,source_reference_no,reference_no,form_type,company_name,security_symbol,transaction_date,transaction_type,transaction_channel,broker_name,biglot,section_2_2,section_2_3,submission_date,highest_price_90_days,highest_price_date,reporter_name,contact_person,report_purpose,section_8_1_stock_type,section_8_2_convertible_type,section_8_3_other_type,common_before_units,common_before_voting_rights,common_before_percent,common_transaction_units,common_transaction_voting_rights,common_transaction_percent,common_after_units,common_after_voting_rights,common_after_percent,preferred_before_units,preferred_before_voting_rights,preferred_before_percent,preferred_transaction_units,preferred_transaction_voting_rights,preferred_transaction_percent,preferred_after_units,preferred_after_voting_rights,preferred_after_percent,section_10,section_11,section_12,reference_match,extraction_status,error_message
4,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6ab0b5ee187437e026bb77ce,246043972609-1,246043972609-1,246-2,บริษัท บางจาก คอร์ปอเรชัน จำกัด (มหาชน),BCP,18/09/2569,การจำหน่าย,ผ่าน ต.ล.ท. โดยผ่านบริษัทหลักทรัพย์,บริษัท หลักทรัพย์ทิสโก้ จำกัด,,,,21/09/2569,,,กองทุนรวมวายุภักษ์ หนึง,ศุภรัสมิ จรรย์วรรธน์,รายงานตามมาตรา 246,"หุ้นสามัญ, หุ้นบุริมสิทธิ",,,146777046,146777046,10.0327,500000,500000,0.0341,146277046,146277046,9.9986,0,0,0.0,0,0,0.0,0,0,0.0,,,,True,success,
13,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6aa1297b5669891379e0e823,246043792609-1,246043792609-1,246-2,บริษัท บางจาก คอร์ปอเรชัน จำกัด (มหาชน),BCP,07/09/2569,การจำหน่าย,ผ่าน ต.ล.ท. โดยผ่านบริษัทหลักทรัพย์,บริษัท หลักทรัพย์กรุงศรี จำกัด (มหาชน) บริษัท หลักทรัพย์ ซีจีเอส อินเตอร์เนชันแนล (ประเทศไทย) จำกัด บริษัท หลักทรัพย์ทีทีบ ี เวลธ์ จำกัด (มหาชน),,,,09/09/2569,,,สำนักงานประกันสังคม,นาย ธราดล ธรณธรรม,รายงานตามมาตรา 246,"หุ้นสามัญ, หุ้นบุริมสิทธิ",,,148414497,148414497,10.1447,3000000,3000000,0.205,145414497,145414497,9.9396,0,0,0.0,0,0,0.0,0,0,0.0,,,,True,success,
48,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a5eeec23639b7274eabb65a,246042892607-1,246042892607-1,246-2,บริษัท บางจาก คอร์ปอเรชัน จำกัด (มหาชน),BCP,20/07/2569,การจำหน่าย,ผ่าน ต.ล.ท. โดยผ่านบริษัทหลักทรัพย์,บริษัท หลักทรัพย์ ซีจีเอส อินเตอร์เนชันแนล (ประเทศไทย) จำกัด,,,,21/07/2569,,,กองทุนรวมวายุภักษ์ หนึง,ศุภรัสมิ จรรย์วรรธน์,รายงานตามมาตรา 246,"หุ้นสามัญ, หุ้นบุริมสิทธิ",,,219961046,219961046,15.0352,2549400,2549400,0.1742,217411646,217411646,14.8609,0,0,0.0,0,0,0.0,0,0,0.0,,,,True,success,
189,https://web-r246-api.sec.or.th/api/forms/pdf/publish/69afbc4a30554da3345de35d,246041232603-1,246041232603-1,246-2,BCPG PUBLIC COMPANY LIMITED,BCPG,09/03/2026,Disposition,Through the Stock Exchange of Thailand via a securities company,FINANSIA SYRUS SECURITIES PUBLIC COMPANY LIMITED,,,,10/03/2026,,,CAPITAL ASIA INVESTMENTS PTE. LTD.,Capital Asia Investments Pte. Ltd.,to file a report in accordance with Section 246,"Common shares, Preferred shares",,,164349100,164349100,5.486,26700000,26700000,0.8912,137649100,137649100,4.5947,0,0,0.0,0,0,0.0,0,0,0.0,,,,True,success,
190,https://web-r246-api.sec.or.th/api/forms/pdf/publish/69b11c0e30554da3345de367,246041232603-2,246041232603-2,246-2,BCPG PUBLIC COMPANY LIMITED,BCPG,09/03/2026,Disposition,Through the Stock Exchange of Thailand via a securities company,FINANSIA SYRUS SECURITIES PUBLIC COMPANY LIMITED,,,,11/03/2026,,,CAPITAL ASIA INVESTMENTS PTE. LTD.,Capital Asia Investments Pte. Ltd.,to amend or supplement Form 246-2,"Common shares, Preferred shares",,,194649100,194649100,6.4974,57000000,57000000,1.9026,137649100,137649100,4.5947,0,0,0.0,0,0,0.0,0,0,0.0,,,,True,success,
325,https://web-r246-api.sec.or.th/api/forms/pdf/publish/692c70d5794d88d1dd8c6ef7,246039532512-1,246039532512-1,246-2,บริษัท บางจาก คอร์ปอเรชัน จำกัด (มหาชน),BCP,28/11/2568,การจำหน่าย,ผ่าน ต.ล.ท. โดยผ่านบริษัทหลักทรัพย์,บริษัท หลักทรัพย์หยวนต้า (ประเทศไทย) จำกัด,,,,03/12/2568,,,บริษัท อัลฟา ชาร์เตอร์ด เอนเนอร์จี จำกัด,นางสาว เยาวโรจน์ กลินบุญ,รายงานตามมาตรา 246,"หุ้นสามัญ, หุ้นบุริมสิทธิ",,,276300000,276300000,20.0664,27149000,27149000,1.9717,249151000,249151000,18.0947,0,0,0.0,0,0,0.0,0,0,0.0,,,,True,success,
692,https://web-r246-api.sec.or.th/api/forms/pdf/publish/67f5e297e772ef4c7d3560a5,246035442504-1,246035442504-1,246-2,บริษัท บางจาก คอร์ปอเรชัน จำกัด (มหาชน),BCP,09/04/2568,การได้มา,ผ่าน ต.ล.ท. โดยผ่านบริษัทหลักทรัพย์,บริษัท หลักทรัพย์ อินโนเวสท์ เอกซ์ จำกัด บริษัทหลักทรัพย์ต่างประเทศ Maybank Securities Pte. Ltd.,Capital Asia Investments Pte. Ltd.,,,09/04/2568,40.25,03/04/2568,บริษัท อัลฟา ชาร์เตอร์ด เอนเนอร์จี จำกัด,นางสาว เยาวโรจน์ กลินบุญ,รายงานตามมาตรา 246,"หุ้นสามัญ, หุ้นบุริมสิทธิ",,,191045415,191045415,13.8748,84454585,84454585,6.1335,275500000,275500000,20.0083,0,0,0.0,0,0,0.0,0,0,0.0,,,,True,success,
703,https://web-r246-api.sec.or.th/api/forms/pdf/publish/67ebaeb7345a820878c81c9b,246035392504-1,246035392504-1,246-2,บริษัท บางจาก คอร์ปอเรชัน จำกัด (มหาชน),BCP,31/03/2568,การได้มา,ผ่าน ต.ล.ท. โดยผ่านบริษัทหลักทรัพย์,บริษัท หลักทรัพย์หยวนต้า (ประเทศไทย) จำกัด บริษัทหลักทรัพย์ต่างประเทศ Maybank Securities Pte. Ltd.,Capital Asia Investments Pte. Ltd.,,,03/04/2568,38.5,31/03/2568,บริษัท อัลฟา ชาร์เตอร์ด เอนเนอร์จี จำกัด,นางสาว เยาวโรจน์ กลินบุญ,รายงานตามมาตรา 246,"หุ้นสามัญ, หุ้นบุริมสิทธิ",,,117676315,117676315,8.5463,43381200,43381200,3.1505,161057515,161057515,11.6969,0,0,0.0,0,0,0.0,0,0,0.0,,,,True,success,
720,https://web-r246-api.sec.or.th/api/forms/pdf/publish/67dd2226c75eac82dbf296f6,246035212503-1,246035212503-1,246-2,บริษัท บางจาก คอร์ปอเรชัน จำกัด (มหาชน),BCP,19/03/2568,การได้มา,ผ่าน ต.ล.ท. โดยผ่านบริษัทหลักทรัพย์,บริษัท หลักทรัพย์หยวนต้า (ประเทศไทย) จำกัด บริษัทหลักทรัพย์ต่างประเทศ Maybank Securities Pte. Ltd.,Capital Asia Investments Pte. Ltd.,,,24/03/2568,38.5,05/03/2568,บริษัท อัลฟา ชาร์เตอร์ด เอนเนอร์จี จำกัด,นายณัฐกร อธิธนาวานิช,รายงานตามมาตรา 246,"หุ้นสามัญ, หุ้นบุริมสิทธิ",,,35441000,35441000,2.5739,62907915,62907915,4.5687,98348915,98348915,7.1426,0,0,0.0,0,0,0.0,0,0,0.0,,,,True,success,
735,https://web-r246-api.sec.or.th/api/forms/pdf/publish/677f9b6fb8679a1870e02c89,246035082503-1,246035082503-1,246-2,BANGCHAK CORPORATION PUBLIC COMPANY LIMITED,BCP,05/03/2025,Disposition,Through the Stock Exchange of Thailand via a securities company,Maybank Securities Pte. Ltd.,Thai NVDR Company Limited,,,11/03/2025,,,CAPITAL ASIA INVESTMENTS PTE LTD,Mr. Eugene Tang,to file a report in accordance with Section 246,"Common shares, Preferred shares",,,190859400,190859400,13.8612,123923085,123923085,9.0,66936315,66936315,4.8612,0,0,0.0,0,0,0.0,0,0,0.0,,,,True,success,
